Frequency [kHz],Power [dbm]
843124,-137.51448406550307
843128,-136.8559368700274
843132,-137.82422465192235
843136,-137.72672454403374
843140,-134.68579045915394
843144,-140.88579794024986
843148,-138.34337701245272
843152,-134.44590739291007
843156,-139.4224710617832
843160,-142.33979390022157
843164,-143.45558999682873
843168,-136.3802049532039
843172,-146.01288154458655
843176,-133.16107458529615
843180,-131.07603910909512
843184,-129.40883442725084
843188,-134.02885393422616
843192,-140.0126543210988
843196,-135.2356073619792
843200,-141.65645218915114
843204,-137.92000376509424
843208,-148.05618756874773
843212,-140.6688073523786
843216,-138.79261950721414
843220,-135.50286590578133
843224,-136.15735897316705
843228,-136.32571914811288
843232,-134.5138540363457
843236,-144.01642377334048
843240,-139.4974935139919
843244,-153.541980459314
843248,-157.0653047875178
843252,-133.25686606265756
843256,-129.82708501020704
843260,-138.17925275750522
843264,-137.82420849613067
843268,-152.13783538165487
843272,-139.03158246194351
843276,-129.75200754190132
843280,-136.47267579213192
843284,-134.06881850438762
843288,-136.5635169035058
843292,-147.43377596975097
843296,-138.9734127670726
843300,-144.59777534691773
843304,-145.9208401728767
843308,-132.209798056403
843312,-134.85524264562534
843316,-140.93304569216184
843320,-135.37763423975304
843324,-147.50285342997674
843328,-136.18347519831556
843332,-140.59152569935466
843336,-143.81855697292184
843340,-139.20960420387763
843344,-139.81710942614154
843348,-131.38669203032424
843352,-139.2098981941231
843356,-139.78056274678022
843360,-140.00353198016145
843364,-137.1336948300268
843368,-131.39584782713072
843372,-144.36639480162742
843376,-139.4682827154765
843380,-134.29471305326308
843384,-140.39342344346196
843388,-140.50603158670015
843392,-142.5127811422988
843396,-143.27836819099846
843400,-138.31854707023686
843404,-137.38077316696842
843408,-136.3383392296647
843412,-133.64221485466132
843416,-145.43092587664663
843420,-152.94837500034737
843424,-138.3321691861348
843428,-140.12384596567549
843432,-142.64375545376168
843436,-142.7495887877401
843440,-138.58268425635237
843444,-138.236611369935
843448,-138.24641217584488
843452,-134.68574166185158
843456,-151.1808772434385
843460,-137.1362681056135
843464,-129.35630128007645
843468,-140.68759648081718
843472,-144.62257029067595
843476,-137.38708969267583
843480,-140.61792377505623
843484,-143.47887000383858
843488,-134.4104281225135
843492,-131.85857079516705
843496,-145.66029948622105
843500,-139.31168523977635
843504,-141.71160881543247
843508,-137.69125768579107
843512,-143.55848558805081
843516,-135.13555848163213
843520,-135.13244952527072
843524,-143.2061050683352
843528,-133.41254066890923
843532,-132.97825288931548
843536,-139.58804329242187
843540,-134.82171276841171
843544,-135.94042311988085
843548,-145.01550040228736
843552,-131.97770559325483
843556,-138.45507947018228
843560,-136.41535753002938
843564,-135.62845910319766
843568,-142.1488373688702
843572,-142.43953822110888
843576,-142.60833947634626
843580,-147.57082632230174
843584,-134.56083739885906
843588,-138.89713120472814
843592,-136.85924425610258
843596,-133.52891810423827
843600,-142.03922063131836
843604,-140.69353577299023
843608,-139.44025211281786
843612,-150.3148879801681
843616,-142.83203666221038
843620,-137.28210253463135
843624,-133.64465015664337
843628,-132.1748023858597
843632,-132.673946160367
843636,-138.4681309935833
843640,-131.14323948383554
843644,-140.32212768418827
843648,-133.49501244151287
843652,-135.87369068148587
843656,-129.646688091396
843660,-132.39168454866706
843664,-143.0898583568656
843668,-143.07791202000536
843672,-138.3689650537927
843676,-135.50216776519437
843680,-144.63241357856606
843684,-138.50776681173858
843688,-145.46970414882543
843692,-139.3520936367031
843696,-139.14779650310447
843700,-137.65272043837365
843704,-130.79193690066154
843708,-146.71874201696573
843712,-132.73610097240822
843716,-132.3075081862368
843720,-137.64443249142263
843724,-134.08085095921874
843728,-145.20810402727096
843732,-128.67665737484117
843736,-132.38794171115916
843740,-136.07684277002957
843744,-145.4191996304909
843748,-135.1673697623109
843752,-140.53201994616248
843756,-137.6267643929139
843760,-140.97002037501454
843764,-136.8280026772377
843768,-133.1879766037774
843772,-136.86498782322184
843776,-138.9840344301748
843780,-139.28335235758652
843784,-132.60513909425816
843788,-139.71770522140895
843792,-132.40155830328678
843796,-141.70400926370039
843800,-139.7204097636137
843804,-148.70851953385738
843808,-136.94142738906353
843812,-143.6386980242921
843816,-132.4647982968507
843820,-140.2561254508209
843824,-138.77343705082478
843828,-137.40241407167983
843832,-134.18337028930318
843836,-136.70235220034914
843840,-133.4346324734712
843844,-137.73336636866816
843848,-141.44923276908716
843852,-133.869938896632
843856,-137.94599279586888
843860,-130.0524043366005
843864,-134.66375996537283
843868,-144.5954007293441
843872,-138.04333905841273
843876,-139.35248368670722
843880,-133.63003524918298
843884,-137.77979582476104
843888,-143.66658733103736
843892,-137.09792507155237
843896,-133.4028165740488
843900,-136.02073343475973
843904,-144.4095917908095
843908,-137.0182781502442
843912,-134.58980947473455
843916,-139.32578809354817
843920,-134.10330606753948
843924,-132.50783004418534
843928,-139.06183534914254
843932,-135.97163472936347
843936,-133.5622930339672
843940,-133.60055900883134
843944,-137.85556479203842
843948,-144.62915275068053
843952,-135.36265503790756
843956,-130.1793585098511
843960,-134.71182516372903
843964,-136.1731272536605
843968,-137.12792989951004
843972,-133.5855529321913
843976,-142.8006948621109
843980,-147.0096392020726
843984,-146.77477550391157
843988,-142.0692996187797
843992,-136.59008840768783
843996,-136.94868845976168
844000,-144.1430956451856
844004,-131.61241133419813
844008,-141.86671878054682
844012,-143.72817677565527
844016,-134.41224946180552
844020,-133.92897792577963
844024,-143.18386370947678
844028,-136.70254688680333
844032,-136.2572678893517
844036,-143.74222773381183
844040,-137.82300768602363
844044,-135.93279389697963
844048,-142.31610928112966
844052,-136.08980803422307
844056,-128.8827117308445
844060,-135.23529725788435
844064,-140.81703343069955
844068,-130.1848977144794
844072,-134.58212096937925
844076,-130.52673920389032
844080,-131.1572743048557
844084,-121.75297590168925
844088,-120.87305607371835
844092,-120.81962985244635
844096,-122.91201900621485
844100,-126.57111157744612
844104,-120.74817539367939
844108,-120.13078977361926
844112,-125.94630339207606
844116,-136.94590885003177
844120,-124.50766181549858
844124,-123.06575602386297
844128,-117.44791242274448
844132,-117.77580821788669
844136,-124.94323420669963
844140,-118.96766072366918
844144,-116.14917658733772
844148,-119.09934166773431
844152,-140.69573685308717
844156,-120.08260962873419
844160,-114.47118558760269
844164,-133.41909537127765
844168,-120.8594648926759
844172,-123.53016453925859
844176,-113.65131226560081
844180,-119.42803284451821
844184,-122.62187905997465
844188,-118.1026071237697
844192,-116.44742875111433
844196,-123.26224012467655
844200,-115.78026486536415
844204,-126.49598457810202
844208,-115.12162529508646
844212,-119.66478882598955
844216,-118.01399781666014
844220,-118.02516314112898
844224,-117.22595523672558
844228,-115.65479245892215
844232,-119.00725962570425
844236,-116.39018276056886
844240,-114.50744185563178
844244,-120.60352289367096
844248,-130.87613092306333
844252,-121.74746389380039
844256,-123.892726166843
844260,-120.9601542674732
844264,-117.71710647229622
844268,-116.44820463599052
844272,-120.93301519147565
844276,-119.35520620404711
844280,-126.56253064227357
844284,-126.77903633036573
844288,-124.98190375956855
844292,-117.9106310708595
844296,-121.01919126447547
844300,-130.50569684076044
844304,-118.09057315640773
844308,-119.6950974051107
844312,-119.211481124071
844316,-113.50664842716428
844320,-127.67922719544447
844324,-132.2585465376839
844328,-127.13147687364655
844332,-114.73365719025308
844336,-122.88479729254487
844340,-123.33741547187837
844344,-122.08236522371882
844348,-131.04511858980078
844352,-120.25313756327162
844356,-122.56521157905021
844360,-126.38247490686294
844364,-122.10251581844008
844368,-121.09410435070625
844372,-117.39520545048046
844376,-127.35659656722802
844380,-119.54567701826542
844384,-122.02007146925875
844388,-125.23942058918334
844392,-120.01468560937133
844396,-118.5550165660939
844400,-118.17028714114416
844404,-118.86895241808516
844408,-121.53371332977595
844412,-121.08689046948012
844416,-121.45449389915797
844420,-119.7714755303229
844424,-117.96391604908573
844428,-125.94126369626511
844432,-128.93942762929117
844436,-127.53989084590866
844440,-118.31095776810926
844444,-117.49532903137047
844448,-119.80834531497366
844452,-117.0829567054709
844456,-117.92511624129808
844460,-122.66515368914824
844464,-121.82480724570091
844468,-115.71897448751656
844472,-128.63071893491116
844476,-128.48589171678515
844480,-127.56169353331845
844484,-123.68925839192731
844488,-116.3333902066358
844492,-128.66536512241333
844496,-116.91921811926899
844500,-119.74183384816726
844504,-125.97956775191544
844508,-126.3341673462925
844512,-118.21698427230791
844516,-120.14557941641515
844520,-135.1523350895264
844524,-120.99576205917722
844528,-118.36992676464116
844532,-113.38756170755843
844536,-124.27618990681913
844540,-118.49314998476818
844544,-121.37970810939791
844548,-123.93986793797319
844552,-121.49263395150102
844556,-121.17594983024475
844560,-115.31183896786779
844564,-120.6437049890217
844568,-116.53811031188673
844572,-121.33626899419457
844576,-117.18483135808049
844580,-115.73312905471502
844584,-131.68322126132836
844588,-126.01878495511676
844592,-122.62386149841494
844596,-118.15642923921558
844600,-130.70558574117916
844604,-123.16485982908056
844608,-120.66748758776657
844612,-117.4183013669386
844616,-119.88195254737124
844620,-115.02996288099386
844624,-126.2077799486899
844628,-119.89513312558965
844632,-128.74931456044564
844636,-118.44415108971229
844640,-126.07720290507123
844644,-132.63207360645583
